AssessmentID,StudentID,ClassID,AssignmentName,AssessmentDate,AssessmentType,PointsEarned,PointsPossible,GradeLetter,GradePercentage,Comments
332003,2673,150,Assignment 20,2025-02-04,Quiz,38,50,C,76.67,Good work!
332004,2673,150,Assignment 9,2025-01-14,Test,49,50,A,99.38,See me for help
332005,2673,150,Assignment 10,2025-02-03,Quiz,91,100,A,91.79,See me for help
332006,2673,150,Assignment 19,2025-01-07,Test,80,100,B,80.28,Excellent!
332007,2673,150,Assignment 15,2024-11-07,Test,21,25,B,86.57,Needs review
332008,2673,150,Assignment 6,2024-09-04,Homework,20,20,A,100.0,Needs review
332009,2673,150,Assignment 16,2025-01-09,Homework,84,100,B,84.11,See me for help
332010,2673,150,Assignment 4,2024-10-04,Classwork,9,10,A,95.01,Good work!
332011,2673,150,Assignment 12,2025-01-21,Homework,78,100,C,78.82,Excellent!
332012,2673,150,Assignment 2,2024-12-21,Quiz,38,50,C,76.85,Good work!
332013,2673,150,Assignment 13,2024-09-24,Quiz,94,100,A,94.24,See me for help
332014,2673,150,Assignment 16,2024-12-23,Homework,19,20,A,99.34,Excellent!
332015,2673,150,Assignment 3,2024-10-01,Homework,17,20,B,87.51,See me for help
332016,2673,150,Assignment 6,2024-10-28,Test,22,25,B,89.07,Excellent!
332017,2673,150,Assignment 15,2025-01-23,Homework,94,100,A,94.19,See me for help
332018,2673,150,Assignment 15,2024-09-24,Classwork,9,10,A,93.44,Good work!
332019,2673,150,Assignment 3,2025-02-08,Project,23,25,A,95.67,Needs review
332020,2673,150,Assignment 19,2024-11-21,Classwork,23,25,A,92.81,See me for help
332021,2673,150,Assignment 8,2024-11-15,Quiz,43,50,B,87.61,Excellent!
332022,2673,150,Assignment 6,2024-12-27,Quiz,96,100,A,96.12,Needs review
332023,2673,150,Assignment 8,2024-11-16,Project,15,20,C,77.55,See me for help
332024,2673,150,Assignment 16,2025-02-22,Quiz,38,50,C,76.16,See me for help
332025,2673,155,Assignment 18,2024-12-10,Test,10,10,A,100.0,Good work!
332026,2673,155,Assignment 3,2024-12-01,Project,19,25,C,78.9,Excellent!
332027,2673,155,Assignment 7,2024-11-13,Project,20,20,A,100.0,Good work!
332028,2673,155,Assignment 2,2024-10-07,Homework,19,25,C,78.03,Good work!
332029,2673,155,Assignment 16,2024-11-22,Classwork,10,10,A,100.0,See me for help
332030,2673,155,Assignment 20,2024-12-07,Test,42,50,B,85.44,Needs review
332031,2673,155,Assignment 12,2024-09-19,Quiz,8,10,B,87.27,See me for help
332032,2673,155,Assignment 17,2024-09-03,Project,16,20,B,81.99,See me for help
332033,2673,155,Assignment 1,2024-11-19,Project,17,20,B,86.15,Good work!
332034,2673,155,Assignment 19,2025-01-19,Classwork,24,25,A,99.4,Needs review
332035,2673,155,Assignment 17,2024-11-13,Project,100,100,A,100.0,See me for help
332036,2673,155,Assignment 13,2024-09-03,Test,41,50,B,82.71,Good work!
332037,2673,155,Assignment 11,2024-09-20,Project,92,100,A,92.89,See me for help
332038,2673,155,Assignment 15,2024-10-09,Project,9,10,A,90.09,See me for help
332039,2673,155,Assignment 18,2024-12-19,Project,16,20,B,80.56,Excellent!
332040,2673,155,Assignment 1,2024-09-03,Quiz,7,10,C,79.87,Good work!
332041,2673,155,Assignment 8,2024-12-13,Project,18,20,A,91.52,Excellent!
332042,2673,155,Assignment 15,2024-11-26,Project,47,50,A,94.77,Excellent!
332043,2673,155,Assignment 14,2025-03-03,Project,8,10,B,84.13,See me for help
332044,2673,155,Assignment 3,2024-11-02,Project,39,50,C,79.51,Good work!
332045,2673,155,Assignment 9,2025-02-07,Project,7,10,C,75.65,Good work!
332046,2673,156,Assignment 3,2024-09-12,Test,9,10,A,93.75,Good work!
332047,2673,156,Assignment 12,2024-09-21,Test,9,10,A,96.25,Excellent!
332048,2673,156,Assignment 2,2024-10-26,Project,24,25,A,96.81,See me for help
332049,2673,156,Assignment 14,2024-10-27,Homework,9,10,A,96.67,Needs review
332050,2673,156,Assignment 11,2025-03-13,Quiz,9,10,A,95.62,Excellent!
332051,2673,156,Assignment 16,2024-12-21,Classwork,47,50,A,95.23,Good work!
332052,2673,156,Assignment 19,2024-09-08,Test,23,25,A,94.01,See me for help
332053,2673,156,Assignment 2,2025-03-10,Homework,22,25,B,89.62,Excellent!
332054,2673,156,Assignment 12,2025-01-26,Quiz,48,50,A,97.64,See me for help
332055,2673,156,Assignment 18,2024-12-04,Project,81,100,B,81.85,Good work!
332056,2673,156,Assignment 5,2025-02-10,Project,18,25,C,75.54,Good work!
332057,2673,156,Assignment 15,2025-02-05,Classwork,82,100,B,82.48,See me for help
332058,2673,156,Assignment 13,2024-09-01,Test,79,100,C,79.86,See me for help
332059,2673,156,Assignment 3,2025-03-02,Quiz,18,25,C,75.3,Excellent!
332060,2673,156,Assignment 20,2024-12-13,Test,44,50,B,88.83,Good work!
