AssessmentID,StudentID,ClassID,AssignmentName,AssessmentDate,AssessmentType,PointsEarned,PointsPossible,GradeLetter,GradePercentage,Comments
288520,2320,138,Assignment 13,2024-12-23,Quiz,32,50,D,65.93,Good work!
288521,2320,138,Assignment 18,2025-01-07,Quiz,73,100,C,73.58,See me for help
288522,2320,138,Assignment 20,2025-02-22,Test,84,100,B,84.25,Needs review
288523,2320,138,Assignment 2,2025-01-30,Quiz,7,10,C,71.92,Excellent!
288524,2320,138,Assignment 5,2024-10-05,Quiz,46,50,A,92.91,Excellent!
288525,2320,138,Assignment 8,2025-01-30,Project,32,50,D,64.35,Needs review
288526,2320,138,Assignment 5,2024-09-03,Quiz,15,20,C,79.78,Excellent!
288527,2320,138,Assignment 15,2025-03-14,Homework,45,50,A,90.73,Needs review
288528,2320,138,Assignment 10,2024-12-27,Project,80,100,B,80.25,Needs review
288529,2320,138,Assignment 8,2024-12-25,Classwork,35,50,C,70.79,See me for help
288530,2320,138,Assignment 9,2024-09-12,Test,6,10,D,67.53,Excellent!
288531,2320,138,Assignment 3,2024-10-11,Homework,19,25,C,77.76,Excellent!
288532,2320,138,Assignment 14,2025-02-18,Test,45,50,A,91.53,See me for help
288533,2320,138,Assignment 6,2024-11-18,Project,8,10,B,89.56,See me for help
288534,2320,138,Assignment 17,2024-10-26,Homework,9,10,A,92.09,See me for help
288535,2320,138,Assignment 8,2024-12-21,Homework,8,10,B,88.46,See me for help
288536,2320,132,Assignment 5,2024-11-18,Test,6,10,D,64.39,Excellent!
288537,2320,132,Assignment 9,2024-11-24,Classwork,44,50,B,88.47,See me for help
288538,2320,132,Assignment 14,2025-01-09,Homework,17,20,B,86.16,Good work!
288539,2320,132,Assignment 8,2024-11-12,Test,38,50,C,76.77,Needs review
288540,2320,132,Assignment 5,2025-02-19,Test,22,25,A,91.51,Excellent!
288541,2320,132,Assignment 13,2025-02-07,Quiz,8,10,B,89.2,See me for help
288542,2320,132,Assignment 3,2024-11-24,Test,7,10,C,77.83,Excellent!
288543,2320,132,Assignment 5,2024-11-22,Test,13,20,D,68.18,See me for help
288544,2320,132,Assignment 20,2024-11-26,Project,9,10,A,90.27,Needs review
288545,2320,132,Assignment 9,2024-09-09,Quiz,8,10,B,87.26,Excellent!
288546,2320,132,Assignment 7,2024-12-14,Classwork,45,50,A,90.43,See me for help
