AttendanceID,StudentID,ClassID,AttendanceDate,AttendanceStatus,Reason
4706911,7778,423,2024-09-02,Present,
4706912,7778,423,2024-09-04,Present,
4706913,7778,423,2024-09-06,Present,
4706914,7778,423,2024-09-10,Present,
4706915,7778,423,2024-09-12,Present,
4706916,7778,423,2024-09-16,Present,
4706917,7778,423,2024-09-18,Present,
4706918,7778,423,2024-09-20,Present,
4706919,7778,423,2024-09-24,Present,
4706920,7778,423,2024-09-26,Present,
4706921,7778,423,2024-09-30,Present,
4706922,7778,423,2024-10-02,Present,
4706923,7778,423,2024-10-04,Present,
4706924,7778,423,2024-10-08,Present,
4706925,7778,423,2024-10-10,Present,
4706926,7778,423,2024-10-14,Present,
4706927,7778,423,2024-10-16,Present,
4706928,7778,423,2024-10-18,Present,
4706929,7778,423,2024-10-22,Present,
4706930,7778,423,2024-10-24,Absent,Family Leave
4706931,7778,423,2024-10-28,Present,
4706932,7778,423,2024-10-30,Present,
4706933,7778,423,2024-11-01,Present,
4706934,7778,423,2024-11-05,Present,
4706935,7778,423,2024-11-07,Present,
4706936,7778,423,2024-11-11,Absent,Doctor Appointment
4706937,7778,423,2024-11-13,Present,
4706938,7778,423,2024-11-15,Present,
4706939,7778,423,2024-11-19,Present,
4706940,7778,423,2024-11-21,Present,
4706941,7778,423,2024-11-25,Present,
4706942,7778,423,2024-11-27,Tardy,Late Bus
4706943,7778,423,2024-11-29,Present,
4706944,7778,423,2024-12-03,Present,
4706945,7778,423,2024-12-05,Present,
4706946,7778,423,2024-12-09,Present,
4706947,7778,423,2024-12-11,Present,
4706948,7778,423,2024-12-13,Absent,Unknown
4706949,7778,423,2024-12-17,Present,
4706950,7778,423,2024-12-19,Present,
4706951,7778,423,2024-12-23,Present,
4706952,7778,423,2024-12-25,Present,
4706953,7778,423,2024-12-27,Present,
4706954,7778,423,2024-12-31,Present,
4706955,7778,423,2025-01-02,Present,
4706956,7778,423,2025-01-06,Present,
4706957,7778,423,2025-01-08,Present,
4706958,7778,423,2025-01-10,Present,
4706959,7778,423,2025-01-14,Present,
4706960,7778,423,2025-01-16,Present,
4706961,7778,423,2025-01-20,Present,
4706962,7778,423,2025-01-22,Present,
4706963,7778,423,2025-01-24,Present,
4706964,7778,423,2025-01-28,Present,
4706965,7778,423,2025-01-30,Present,
4706966,7778,423,2025-02-03,Present,
4706967,7778,423,2025-02-05,Present,
4706968,7778,423,2025-02-07,Present,
4706969,7778,423,2025-02-11,Present,
4706970,7778,423,2025-02-13,Present,
4706971,7778,423,2025-02-17,Present,
4706972,7778,423,2025-02-19,Present,
4706973,7778,423,2025-02-21,Present,
4706974,7778,423,2025-02-25,Present,
4706975,7778,423,2025-02-27,Present,
4706976,7778,412,2024-09-02,Present,
4706977,7778,412,2024-09-04,Present,
4706978,7778,412,2024-09-06,Present,
4706979,7778,412,2024-09-10,Present,
4706980,7778,412,2024-09-12,Absent,Doctor Appointment
4706981,7778,412,2024-09-16,Present,
4706982,7778,412,2024-09-18,Present,
4706983,7778,412,2024-09-20,Present,
4706984,7778,412,2024-09-24,Present,
4706985,7778,412,2024-09-26,Present,
4706986,7778,412,2024-09-30,Present,
