AssessmentID,StudentID,ClassID,AssignmentName,AssessmentDate,AssessmentType,PointsEarned,PointsPossible,GradeLetter,GradePercentage,Comments
445964,3595,205,Assignment 13,2024-11-20,Test,45,100,F,45.83,Needs review
445965,3595,205,Assignment 20,2025-01-20,Classwork,3,10,F,33.35,See me for help
445966,3595,205,Assignment 2,2025-02-26,Homework,11,25,F,44.91,Needs review
445967,3595,205,Assignment 16,2024-11-09,Classwork,21,50,F,42.07,Needs review
445968,3595,205,Assignment 8,2024-12-03,Homework,6,20,F,32.87,Needs review
445969,3595,205,Assignment 6,2024-09-04,Test,22,50,F,44.03,Excellent!
445970,3595,205,Assignment 19,2025-01-22,Project,5,10,F,50.83,See me for help
445971,3595,205,Assignment 12,2024-10-30,Project,8,20,F,44.48,Excellent!
445972,3595,205,Assignment 19,2024-12-13,Test,6,20,F,30.19,Needs review
445973,3595,205,Assignment 19,2024-11-14,Project,29,100,F,29.42,Needs review
445974,3595,205,Assignment 2,2024-10-09,Classwork,26,50,F,52.49,Excellent!
445975,3595,205,Assignment 17,2025-03-06,Homework,13,25,F,55.9,Excellent!
445976,3595,205,Assignment 6,2024-10-10,Test,4,10,F,43.51,Excellent!
445977,3595,205,Assignment 16,2025-03-11,Classwork,47,100,F,47.93,Good work!
445978,3595,205,Assignment 14,2024-10-29,Homework,49,100,F,49.28,Excellent!
445979,3595,205,Assignment 6,2024-09-14,Homework,25,50,F,50.3,See me for help
445980,3595,205,Assignment 10,2024-11-01,Test,12,25,F,48.05,Excellent!
445981,3595,205,Assignment 3,2024-10-26,Homework,10,25,F,43.7,Good work!
445982,3595,198,Assignment 20,2025-01-26,Classwork,5,20,F,29.58,Needs review
445983,3595,198,Assignment 8,2025-03-12,Project,31,100,F,31.72,See me for help
445984,3595,198,Assignment 10,2024-09-16,Homework,8,20,F,42.92,Good work!
445985,3595,198,Assignment 11,2024-12-14,Test,6,25,F,26.48,Excellent!
445986,3595,198,Assignment 13,2025-02-09,Homework,10,20,F,52.05,Needs review
445987,3595,198,Assignment 3,2024-12-11,Homework,18,50,F,37.25,Needs review
445988,3595,198,Assignment 18,2024-09-02,Quiz,3,10,F,37.51,Good work!
445989,3595,198,Assignment 8,2025-01-03,Quiz,3,10,F,39.78,Excellent!
445990,3595,198,Assignment 2,2025-02-27,Quiz,23,50,F,47.89,Good work!
445991,3595,198,Assignment 1,2025-02-09,Homework,11,25,F,46.42,Good work!
445992,3595,198,Assignment 6,2024-09-03,Project,4,10,F,42.23,Good work!
445993,3595,198,Assignment 19,2025-02-26,Classwork,13,50,F,27.46,See me for help
