AssessmentID,StudentID,ClassID,AssignmentName,AssessmentDate,AssessmentType,PointsEarned,PointsPossible,GradeLetter,GradePercentage,Comments
968770,7778,423,Assignment 1,2024-12-26,Classwork,71,100,C,71.22,See me for help
968771,7778,423,Assignment 2,2025-02-23,Quiz,12,20,D,63.75,Good work!
968772,7778,423,Assignment 6,2025-01-02,Project,15,25,D,60.19,See me for help
968773,7778,423,Assignment 6,2024-09-20,Test,14,20,C,71.72,Excellent!
968774,7778,423,Assignment 19,2024-10-09,Project,12,20,D,63.11,Excellent!
968775,7778,423,Assignment 11,2024-12-21,Classwork,6,10,D,65.07,Excellent!
968776,7778,423,Assignment 10,2025-01-27,Project,58,100,F,58.12,Excellent!
968777,7778,423,Assignment 5,2025-02-17,Homework,34,50,D,69.29,Excellent!
968778,7778,423,Assignment 16,2024-12-12,Test,14,25,F,59.47,Needs review
968779,7778,423,Assignment 16,2025-02-15,Homework,24,50,F,49.57,Excellent!
968780,7778,423,Assignment 3,2025-01-04,Project,28,50,F,57.73,See me for help
968781,7778,423,Assignment 9,2024-12-24,Quiz,63,100,D,63.66,Good work!
968782,7778,423,Assignment 13,2024-12-08,Homework,9,20,F,47.98,Excellent!
968783,7778,423,Assignment 18,2024-12-07,Homework,53,100,F,53.19,See me for help
968784,7778,423,Assignment 18,2024-11-14,Test,34,50,D,69.56,Needs review
968785,7778,423,Assignment 17,2024-11-09,Quiz,8,20,F,43.01,Good work!
968786,7778,423,Assignment 2,2025-01-17,Classwork,5,10,F,54.41,Good work!
968787,7778,423,Assignment 6,2024-12-13,Test,4,10,F,49.94,Good work!
968788,7778,423,Assignment 2,2024-11-22,Project,10,25,F,43.85,See me for help
968789,7778,423,Assignment 12,2024-09-11,Classwork,12,25,F,50.17,Good work!
968790,7778,423,Assignment 4,2024-12-11,Quiz,54,100,F,54.55,Excellent!
968791,7778,423,Assignment 16,2025-02-03,Test,5,10,F,50.8,Needs review
968792,7778,412,Assignment 11,2025-02-26,Homework,14,25,F,56.51,See me for help
968793,7778,412,Assignment 3,2025-02-23,Classwork,14,20,C,71.39,Good work!
968794,7778,412,Assignment 6,2025-01-11,Project,4,10,F,44.25,Needs review
968795,7778,412,Assignment 1,2025-03-20,Test,35,50,C,71.66,Needs review
968796,7778,412,Assignment 5,2025-02-25,Test,5,10,F,54.45,Excellent!
968797,7778,412,Assignment 5,2024-09-21,Homework,5,10,F,59.26,Good work!
968798,7778,412,Assignment 7,2025-02-25,Homework,11,25,F,45.63,Needs review
968799,7778,412,Assignment 11,2024-12-02,Classwork,48,100,F,48.85,Good work!
968800,7778,412,Assignment 20,2025-02-03,Classwork,12,20,D,64.49,See me for help
968801,7778,412,Assignment 12,2024-12-21,Test,4,10,F,49.24,Needs review
968802,7778,412,Assignment 12,2024-11-11,Quiz,71,100,C,71.42,See me for help
968803,7778,412,Assignment 3,2025-03-05,Homework,59,100,F,59.19,Needs review
968804,7778,412,Assignment 1,2024-12-08,Project,59,100,F,59.58,See me for help
968805,7778,412,Assignment 2,2024-09-13,Classwork,61,100,D,61.91,Needs review
968806,7778,412,Assignment 2,2025-03-17,Test,4,10,F,46.09,Good work!
968807,7778,412,Assignment 20,2024-09-26,Homework,5,10,F,51.1,See me for help
968808,7778,412,Assignment 6,2024-09-08,Test,12,25,F,51.65,Excellent!
968809,7778,412,Assignment 4,2024-11-26,Classwork,12,25,F,50.8,Good work!
968810,7778,412,Assignment 10,2024-09-01,Test,12,25,F,51.89,See me for help
968811,7778,412,Assignment 7,2025-01-05,Project,23,50,F,47.18,Needs review
968812,7778,412,Assignment 2,2024-11-09,Project,24,50,F,49.82,Needs review
968813,7778,412,Assignment 14,2024-12-29,Project,5,10,F,55.61,Excellent!
968814,7778,412,Assignment 15,2024-10-22,Project,62,100,D,62.64,Good work!
968815,7778,412,Assignment 16,2025-01-07,Classwork,6,10,D,61.36,See me for help
968816,7778,421,Assignment 3,2024-09-16,Project,9,20,F,47.54,Good work!
968817,7778,421,Assignment 4,2024-09-23,Classwork,13,25,F,55.95,Good work!
968818,7778,421,Assignment 19,2025-03-13,Quiz,52,100,F,52.72,Good work!
968819,7778,421,Assignment 2,2024-09-28,Quiz,16,25,D,67.14,Good work!
968820,7778,421,Assignment 14,2025-01-11,Classwork,13,20,D,66.05,Excellent!
968821,7778,421,Assignment 2,2025-02-05,Project,14,20,C,70.79,Needs review
968822,7778,421,Assignment 10,2024-12-02,Test,10,25,F,43.39,Needs review
968823,7778,421,Assignment 1,2024-10-12,Classwork,35,50,C,71.44,See me for help
968824,7778,421,Assignment 9,2025-01-01,Test,7,10,C,70.11,Needs review
968825,7778,421,Assignment 19,2024-11-03,Test,32,50,D,64.38,Excellent!
968826,7778,421,Assignment 12,2024-11-30,Project,28,50,F,57.84,See me for help
968827,7778,421,Assignment 16,2024-09-05,Project,22,50,F,44.12,See me for help
968828,7778,421,Assignment 20,2024-10-31,Classwork,4,10,F,47.08,Needs review
968829,7778,421,Assignment 14,2025-01-26,Test,5,10,F,53.64,See me for help
968830,7778,421,Assignment 9,2024-10-10,Project,15,25,D,63.7,Good work!
968831,7778,421,Assignment 7,2024-09-20,Test,13,25,F,55.98,Needs review
968832,7778,421,Assignment 2,2025-03-20,Classwork,13,20,D,67.98,Excellent!
968833,7778,421,Assignment 17,2024-09-03,Quiz,15,25,D,62.24,Good work!
968834,7778,421,Assignment 19,2025-02-23,Classwork,43,100,F,43.17,Needs review
968835,7778,421,Assignment 1,2024-09-30,Project,34,50,D,68.56,Needs review
968836,7778,421,Assignment 19,2025-02-24,Classwork,4,10,F,49.37,Needs review
968837,7778,421,Assignment 1,2024-10-10,Homework,11,25,F,47.36,Needs review
968838,7778,421,Assignment 8,2024-10-20,Quiz,12,20,D,61.42,Excellent!
968839,7778,410,Assignment 14,2024-11-11,Homework,11,20,F,55.58,Good work!
968840,7778,410,Assignment 2,2024-10-27,Quiz,62,100,D,62.39,Needs review
968841,7778,410,Assignment 14,2024-09-25,Test,6,10,D,67.55,Needs review
968842,7778,410,Assignment 5,2024-09-09,Homework,26,50,F,52.27,See me for help
968843,7778,410,Assignment 19,2024-11-26,Classwork,16,25,D,64.81,Excellent!
968844,7778,410,Assignment 11,2024-10-24,Homework,11,25,F,46.05,See me for help
968845,7778,410,Assignment 9,2024-10-26,Homework,6,10,D,62.69,See me for help
968846,7778,410,Assignment 2,2025-02-10,Quiz,28,50,F,57.01,Needs review
968847,7778,410,Assignment 20,2025-03-11,Quiz,10,25,F,43.49,Good work!
968848,7778,410,Assignment 20,2025-02-26,Quiz,59,100,F,59.28,Good work!
968849,7778,410,Assignment 17,2024-12-04,Quiz,57,100,F,57.87,Needs review
968850,7778,410,Assignment 2,2025-01-31,Test,55,100,F,55.99,See me for help
968851,7778,410,Assignment 10,2024-12-14,Quiz,23,50,F,47.77,Good work!
968852,7778,410,Assignment 18,2025-01-03,Classwork,17,25,C,71.75,Excellent!
968853,7778,410,Assignment 12,2025-01-08,Classwork,35,50,C,70.62,See me for help
968854,7778,410,Assignment 8,2024-12-11,Classwork,16,25,D,64.92,Good work!
968855,7778,410,Assignment 12,2025-02-15,Classwork,47,100,F,47.61,Needs review
968856,7778,417,Assignment 2,2024-12-29,Project,35,50,C,71.68,Excellent!
968857,7778,417,Assignment 16,2025-01-31,Classwork,27,50,F,54.98,Good work!
968858,7778,417,Assignment 7,2024-09-07,Classwork,60,100,D,60.67,Good work!
968859,7778,417,Assignment 4,2025-01-18,Project,6,10,D,67.47,Good work!
968860,7778,417,Assignment 6,2024-11-10,Project,53,100,F,53.64,Good work!
968861,7778,417,Assignment 5,2025-02-08,Test,15,25,D,63.44,Excellent!
968862,7778,417,Assignment 8,2024-11-14,Homework,27,50,F,54.31,Excellent!
968863,7778,417,Assignment 9,2025-01-12,Quiz,6,10,D,69.67,See me for help
968864,7778,417,Assignment 3,2024-10-01,Test,9,20,F,49.21,Needs review
968865,7778,417,Assignment 16,2024-09-12,Test,13,25,F,53.35,See me for help
968866,7778,417,Assignment 6,2025-02-21,Test,12,25,F,49.47,See me for help
968867,7778,417,Assignment 20,2025-01-14,Test,11,20,F,58.64,Excellent!
968868,7778,417,Assignment 9,2024-11-16,Classwork,32,50,D,64.39,See me for help
968869,7778,417,Assignment 15,2025-01-13,Homework,31,50,D,63.26,Good work!
968870,7778,417,Assignment 6,2025-02-01,Test,6,10,D,69.59,Good work!
968871,7778,417,Assignment 6,2024-10-23,Quiz,62,100,D,62.35,Needs review
968872,7778,417,Assignment 14,2025-03-08,Classwork,29,50,F,59.61,See me for help
968873,7778,418,Assignment 9,2025-03-18,Project,23,50,F,46.18,Excellent!
968874,7778,418,Assignment 18,2024-09-15,Test,57,100,F,57.38,Excellent!
968875,7778,418,Assignment 12,2025-03-19,Project,31,50,D,63.79,Good work!
