AttendanceID,StudentID,ClassID,AttendanceDate,AttendanceStatus,Reason
668656,1110,75,2024-09-02,Present,
668657,1110,75,2024-09-04,Present,
668658,1110,75,2024-09-06,Present,
668659,1110,75,2024-09-10,Present,
668660,1110,75,2024-09-12,Tardy,Family Issue
668661,1110,75,2024-09-16,Absent,Unknown
668662,1110,75,2024-09-18,Present,
668663,1110,75,2024-09-20,Present,
668664,1110,75,2024-09-24,Present,
668665,1110,75,2024-09-26,Absent,Family Leave
668666,1110,75,2024-09-30,Present,
668667,1110,75,2024-10-02,Tardy,Family Issue
668668,1110,75,2024-10-04,Present,
668669,1110,75,2024-10-08,Present,
668670,1110,75,2024-10-10,Absent,Sick
668671,1110,75,2024-10-14,Tardy,Oversleep
668672,1110,75,2024-10-16,Present,
668673,1110,75,2024-10-18,Absent,Doctor Appointment
668674,1110,75,2024-10-22,Present,
668675,1110,75,2024-10-24,Present,
668676,1110,75,2024-10-28,Absent,Family Leave
668677,1110,75,2024-10-30,Present,
668678,1110,75,2024-11-01,Present,
668679,1110,75,2024-11-05,Present,
668680,1110,75,2024-11-07,Present,
668681,1110,75,2024-11-11,Present,
668682,1110,75,2024-11-13,Tardy,Oversleep
668683,1110,75,2024-11-15,Present,
668684,1110,75,2024-11-19,Present,
668685,1110,75,2024-11-21,Present,
668686,1110,75,2024-11-25,Tardy,Late Bus
668687,1110,75,2024-11-27,Present,
668688,1110,75,2024-11-29,Tardy,Late Bus
668689,1110,75,2024-12-03,Present,
668690,1110,75,2024-12-05,Present,
668691,1110,75,2024-12-09,Absent,Doctor Appointment
668692,1110,75,2024-12-11,Tardy,Late Bus
668693,1110,75,2024-12-13,Present,
668694,1110,75,2024-12-17,Present,
668695,1110,75,2024-12-19,Tardy,Oversleep
668696,1110,75,2024-12-23,Present,
668697,1110,75,2024-12-25,Absent,Sick
668698,1110,75,2024-12-27,Present,
668699,1110,75,2024-12-31,Present,
668700,1110,75,2025-01-02,Present,
668701,1110,75,2025-01-06,Present,
668702,1110,75,2025-01-08,Present,
668703,1110,75,2025-01-10,Absent,Sick
668704,1110,75,2025-01-14,Present,
668705,1110,75,2025-01-16,Present,
668706,1110,75,2025-01-20,Present,
668707,1110,75,2025-01-22,Present,
668708,1110,75,2025-01-24,Absent,Unknown
668709,1110,75,2025-01-28,Present,
668710,1110,75,2025-01-30,Absent,Family Leave
668711,1110,75,2025-02-03,Absent,Family Leave
