AssessmentID,StudentID,ClassID,AssignmentName,AssessmentDate,AssessmentType,PointsEarned,PointsPossible,GradeLetter,GradePercentage,Comments
83098,670,38,Assignment 18,2025-02-23,Classwork,7,10,C,70.53,See me for help
83099,670,38,Assignment 12,2024-09-10,Quiz,13,25,F,53.23,Needs review
83100,670,38,Assignment 11,2024-10-10,Classwork,28,50,F,56.1,See me for help
83101,670,38,Assignment 19,2024-09-10,Project,15,25,D,63.83,Excellent!
83102,670,38,Assignment 7,2025-02-10,Test,16,25,D,64.27,Good work!
83103,670,38,Assignment 13,2024-10-17,Quiz,15,20,C,76.98,Good work!
83104,670,38,Assignment 9,2024-11-09,Classwork,32,50,D,65.78,See me for help
83105,670,38,Assignment 12,2025-02-16,Homework,5,10,F,58.65,Good work!
83106,670,38,Assignment 6,2025-03-15,Homework,64,100,D,64.42,Needs review
83107,670,38,Assignment 8,2024-09-28,Classwork,8,10,B,82.24,Needs review
83108,670,38,Assignment 8,2024-10-04,Project,15,20,C,76.17,Needs review
83109,670,38,Assignment 8,2025-02-02,Project,35,50,C,70.88,See me for help
83110,670,38,Assignment 3,2025-01-02,Homework,13,25,F,54.07,See me for help
83111,670,38,Assignment 11,2025-03-13,Quiz,33,50,D,66.78,See me for help
83112,670,38,Assignment 19,2024-10-11,Homework,79,100,C,79.99,Excellent!
83113,670,38,Assignment 20,2024-10-24,Quiz,63,100,D,63.8,See me for help
83114,670,38,Assignment 3,2024-09-26,Homework,14,20,C,72.1,Good work!
83115,670,38,Assignment 5,2024-12-16,Test,13,25,F,53.47,Needs review
83116,670,37,Assignment 2,2025-01-15,Classwork,34,50,D,68.22,Good work!
83117,670,37,Assignment 3,2024-12-19,Project,6,10,D,64.64,Excellent!
83118,670,37,Assignment 5,2024-10-09,Homework,11,20,F,56.46,See me for help
83119,670,37,Assignment 4,2024-10-04,Homework,39,50,C,78.77,Excellent!
83120,670,37,Assignment 19,2024-09-08,Project,82,100,B,82.55,Good work!
83121,670,37,Assignment 17,2025-03-05,Classwork,37,50,C,75.55,Excellent!
83122,670,37,Assignment 4,2024-12-10,Project,15,20,C,79.08,Needs review
83123,670,37,Assignment 10,2024-12-04,Project,18,25,C,72.81,Good work!
83124,670,37,Assignment 2,2024-09-16,Classwork,82,100,B,82.07,Good work!
83125,670,37,Assignment 20,2025-01-03,Test,71,100,C,71.16,See me for help
83126,670,37,Assignment 11,2024-11-26,Test,6,10,D,69.6,See me for help
83127,670,37,Assignment 8,2024-09-17,Project,7,10,C,71.12,See me for help
83128,670,37,Assignment 5,2025-03-20,Test,15,25,D,61.78,Good work!
83129,670,37,Assignment 6,2025-02-19,Test,79,100,C,79.16,Good work!
83130,670,37,Assignment 12,2024-10-11,Quiz,5,10,F,56.48,Needs review
83131,670,37,Assignment 17,2024-11-26,Project,79,100,C,79.47,Excellent!
83132,670,37,Assignment 10,2025-01-08,Classwork,34,50,D,69.76,Needs review
83133,670,37,Assignment 3,2024-11-20,Project,57,100,F,57.07,See me for help
83134,670,37,Assignment 18,2025-02-28,Quiz,18,25,C,72.23,Excellent!
83135,670,37,Assignment 5,2025-02-19,Test,16,20,B,80.36,Good work!
83136,670,37,Assignment 12,2024-11-22,Project,12,20,D,64.28,Needs review
83137,670,37,Assignment 13,2025-01-26,Test,15,20,C,75.74,Needs review
83138,670,37,Assignment 18,2024-10-17,Quiz,12,20,D,64.42,See me for help
83139,670,37,Assignment 20,2024-12-12,Classwork,33,50,D,67.64,Needs review
83140,670,65,Assignment 6,2024-09-01,Homework,12,20,D,60.77,See me for help
83141,670,65,Assignment 2,2024-12-19,Classwork,78,100,C,78.07,Needs review
83142,670,65,Assignment 12,2025-03-03,Test,12,20,D,64.81,Excellent!
83143,670,65,Assignment 7,2024-09-08,Quiz,6,10,D,68.94,Excellent!
83144,670,65,Assignment 2,2025-03-15,Test,13,20,D,68.57,Excellent!
83145,670,65,Assignment 19,2024-09-16,Test,63,100,D,63.56,See me for help
83146,670,65,Assignment 4,2024-11-15,Classwork,15,20,C,75.78,Good work!
83147,670,65,Assignment 9,2024-12-04,Quiz,12,20,D,62.65,Excellent!
83148,670,65,Assignment 4,2024-12-06,Quiz,65,100,D,65.2,Good work!
83149,670,65,Assignment 17,2024-10-23,Classwork,17,25,C,70.29,Needs review
83150,670,65,Assignment 7,2025-01-20,Test,39,50,C,78.07,Needs review
83151,670,65,Assignment 2,2024-10-18,Test,38,50,C,76.19,See me for help
83152,670,65,Assignment 9,2025-02-09,Test,39,50,C,79.97,Good work!
83153,670,65,Assignment 11,2025-01-20,Quiz,64,100,D,64.93,Good work!
83154,670,65,Assignment 14,2025-02-05,Quiz,32,50,D,64.28,See me for help
83155,670,65,Assignment 3,2024-09-27,Project,20,25,B,82.99,Needs review
83156,670,65,Assignment 15,2024-12-20,Classwork,12,20,D,62.09,Needs review
83157,670,65,Assignment 19,2024-11-16,Project,7,10,C,78.32,See me for help
83158,670,65,Assignment 8,2024-09-22,Classwork,15,25,D,63.3,See me for help
83159,670,65,Assignment 11,2025-01-19,Project,62,100,D,62.82,Needs review
83160,670,65,Assignment 8,2024-11-30,Test,14,25,F,57.41,See me for help
83161,670,65,Assignment 8,2024-12-10,Test,6,10,D,65.9,Excellent!
83162,670,65,Assignment 17,2024-10-11,Quiz,14,25,F,56.54,See me for help
83163,670,65,Assignment 3,2024-10-30,Project,27,50,F,55.62,Excellent!
83164,670,65,Assignment 19,2024-12-26,Project,64,100,D,64.56,Needs review
83165,670,63,Assignment 16,2025-03-02,Classwork,39,50,C,79.81,See me for help
83166,670,63,Assignment 11,2024-11-27,Classwork,33,50,D,66.31,Good work!
83167,670,63,Assignment 6,2025-03-10,Homework,11,20,F,56.47,Needs review
83168,670,63,Assignment 20,2025-02-10,Quiz,26,50,F,53.93,Good work!
83169,670,63,Assignment 18,2024-12-13,Classwork,36,50,C,73.77,Good work!
