AssessmentID,StudentID,ClassID,AssignmentName,AssessmentDate,AssessmentType,PointsEarned,PointsPossible,GradeLetter,GradePercentage,Comments
550803,4427,232,Assignment 7,2024-12-26,Classwork,4,10,F,43.29,See me for help
550804,4427,232,Assignment 8,2025-01-02,Classwork,31,100,F,31.71,Good work!
550805,4427,232,Assignment 16,2024-09-11,Project,9,20,F,48.79,Needs review
550806,4427,232,Assignment 4,2025-02-26,Classwork,27,50,F,54.17,Needs review
550807,4427,232,Assignment 6,2024-09-01,Quiz,16,50,F,32.47,See me for help
550808,4427,232,Assignment 4,2024-11-28,Quiz,10,25,F,43.01,Good work!
550809,4427,232,Assignment 13,2024-09-04,Test,47,100,F,47.98,See me for help
550810,4427,232,Assignment 7,2024-10-18,Quiz,33,100,F,33.81,Excellent!
550811,4427,232,Assignment 12,2024-11-18,Classwork,6,20,F,34.48,Needs review
550812,4427,232,Assignment 20,2025-03-19,Classwork,18,50,F,37.83,See me for help
550813,4427,232,Assignment 5,2025-01-27,Homework,11,20,F,55.43,Needs review
550814,4427,232,Assignment 3,2024-09-24,Homework,18,50,F,36.73,Excellent!
550815,4427,232,Assignment 9,2025-02-11,Quiz,14,50,F,29.51,Excellent!
550816,4427,232,Assignment 20,2025-01-17,Project,26,50,F,53.98,Needs review
550817,4427,232,Assignment 7,2024-09-12,Project,4,10,F,44.61,Excellent!
550818,4427,232,Assignment 18,2024-09-13,Classwork,54,100,F,54.98,See me for help
550819,4427,232,Assignment 13,2025-03-11,Test,39,100,F,39.63,Good work!
550820,4427,232,Assignment 18,2024-09-16,Homework,44,100,F,44.17,See me for help
550821,4427,236,Assignment 10,2024-09-23,Homework,46,100,F,46.76,See me for help
550822,4427,236,Assignment 7,2024-10-09,Homework,22,50,F,45.08,Needs review
550823,4427,236,Assignment 8,2024-12-19,Project,32,100,F,32.23,See me for help
550824,4427,236,Assignment 8,2024-09-27,Quiz,5,20,F,27.18,Needs review
550825,4427,236,Assignment 6,2025-02-18,Test,8,20,F,43.71,Good work!
550826,4427,236,Assignment 3,2024-12-23,Homework,9,25,F,36.61,Good work!
550827,4427,236,Assignment 12,2025-01-02,Classwork,4,10,F,43.98,Needs review
550828,4427,236,Assignment 1,2025-01-21,Project,27,100,F,27.28,See me for help
550829,4427,236,Assignment 6,2024-09-16,Quiz,29,100,F,29.07,Good work!
550830,4427,236,Assignment 20,2025-02-28,Test,14,50,F,28.1,See me for help
550831,4427,236,Assignment 14,2025-01-08,Classwork,12,25,F,51.77,Good work!
550832,4427,236,Assignment 16,2025-01-18,Quiz,8,20,F,41.69,Excellent!
550833,4427,236,Assignment 5,2024-11-25,Classwork,35,100,F,35.84,Excellent!
550834,4427,236,Assignment 18,2025-01-13,Classwork,8,20,F,44.91,Excellent!
550835,4427,236,Assignment 17,2025-01-04,Quiz,8,25,F,32.01,See me for help
550836,4427,236,Assignment 4,2025-02-22,Test,3,10,F,33.25,Good work!
550837,4427,236,Assignment 6,2025-03-12,Classwork,12,25,F,51.28,Excellent!
550838,4427,236,Assignment 7,2024-09-11,Classwork,12,25,F,48.44,Needs review
550839,4427,236,Assignment 15,2025-01-19,Classwork,13,25,F,54.94,See me for help
550840,4427,236,Assignment 19,2024-10-29,Project,46,100,F,46.15,Needs review
550841,4427,236,Assignment 20,2024-11-18,Quiz,11,20,F,55.83,See me for help
550842,4427,236,Assignment 12,2024-09-02,Project,13,25,F,55.36,Good work!
550843,4427,236,Assignment 6,2025-02-18,Project,12,25,F,50.19,Needs review
550844,4427,236,Assignment 19,2024-09-17,Homework,6,20,F,31.77,Needs review
550845,4427,260,Assignment 19,2024-09-10,Test,5,10,F,51.17,Good work!
550846,4427,260,Assignment 9,2025-03-05,Homework,28,100,F,28.49,See me for help
550847,4427,260,Assignment 19,2024-09-20,Homework,9,25,F,37.87,Excellent!
550848,4427,260,Assignment 14,2024-12-23,Classwork,14,25,F,56.77,See me for help
550849,4427,260,Assignment 2,2024-11-18,Homework,30,100,F,30.16,Good work!
550850,4427,260,Assignment 16,2025-02-18,Test,9,25,F,36.7,Good work!
550851,4427,260,Assignment 3,2024-12-31,Project,7,25,F,29.67,Good work!
550852,4427,260,Assignment 9,2024-11-11,Homework,11,25,F,44.36,Excellent!
550853,4427,260,Assignment 12,2025-02-10,Classwork,10,20,F,51.64,Needs review
550854,4427,260,Assignment 20,2025-03-06,Homework,10,25,F,41.82,See me for help
550855,4427,260,Assignment 3,2024-10-26,Test,12,25,F,49.98,Needs review
550856,4427,260,Assignment 17,2024-11-08,Classwork,5,10,F,55.34,Good work!
550857,4427,260,Assignment 20,2025-02-20,Project,6,20,F,33.6,Good work!
550858,4427,260,Assignment 7,2025-02-03,Project,4,10,F,46.01,See me for help
550859,4427,260,Assignment 17,2025-03-07,Classwork,3,10,F,36.18,Excellent!
