AssessmentID,StudentID,ClassID,AssignmentName,AssessmentDate,AssessmentType,PointsEarned,PointsPossible,GradeLetter,GradePercentage,Comments
589882,4742,272,Assignment 3,2024-11-05,Homework,21,25,B,86.03,Good work!
589883,4742,272,Assignment 20,2025-02-18,Test,45,50,A,91.17,Good work!
589884,4742,272,Assignment 1,2024-11-22,Homework,18,20,A,94.77,Excellent!
589885,4742,272,Assignment 18,2024-12-07,Test,75,100,C,75.57,Excellent!
589886,4742,272,Assignment 2,2024-10-08,Quiz,9,10,A,92.4,Good work!
589887,4742,272,Assignment 17,2024-12-28,Project,18,20,A,91.09,See me for help
589888,4742,272,Assignment 9,2024-12-03,Test,69,100,D,69.42,Good work!
589889,4742,272,Assignment 5,2024-11-18,Classwork,9,10,A,95.65,Excellent!
589890,4742,272,Assignment 10,2024-11-08,Project,18,20,A,93.57,Good work!
589891,4742,272,Assignment 13,2024-10-18,Test,14,20,C,73.17,See me for help
589892,4742,272,Assignment 1,2024-09-16,Quiz,15,20,C,78.32,Needs review
589893,4742,272,Assignment 14,2024-10-22,Test,40,50,B,81.63,See me for help
589894,4742,272,Assignment 11,2025-01-09,Test,19,20,A,95.06,See me for help
589895,4742,272,Assignment 17,2024-12-31,Test,14,20,C,72.32,See me for help
589896,4742,272,Assignment 17,2024-10-25,Test,85,100,B,85.61,Excellent!
589897,4742,272,Assignment 17,2025-02-18,Test,18,25,C,76.0,See me for help
589898,4742,272,Assignment 14,2024-11-09,Homework,37,50,C,75.84,Needs review
589899,4742,272,Assignment 10,2024-11-24,Quiz,22,25,B,88.35,See me for help
589900,4742,269,Assignment 13,2024-09-16,Classwork,20,25,B,82.12,Good work!
589901,4742,269,Assignment 15,2025-02-11,Homework,23,25,A,94.52,Good work!
589902,4742,269,Assignment 3,2024-11-08,Homework,19,25,C,77.15,Excellent!
589903,4742,269,Assignment 9,2025-01-18,Homework,8,10,B,89.92,Good work!
589904,4742,269,Assignment 1,2025-03-16,Homework,16,20,B,80.11,Good work!
589905,4742,269,Assignment 4,2024-12-25,Test,35,50,C,70.09,Excellent!
589906,4742,269,Assignment 13,2024-11-01,Quiz,19,25,C,76.96,Good work!
589907,4742,269,Assignment 3,2024-10-10,Project,81,100,B,81.51,Needs review
589908,4742,269,Assignment 13,2025-02-15,Homework,20,25,B,81.89,Needs review
589909,4742,269,Assignment 9,2025-01-31,Classwork,22,25,B,89.97,Excellent!
589910,4742,269,Assignment 12,2024-12-01,Homework,77,100,C,77.86,Excellent!
589911,4742,269,Assignment 20,2025-03-10,Quiz,14,20,C,70.78,Good work!
589912,4742,269,Assignment 15,2025-01-28,Project,23,25,A,92.16,Needs review
589913,4742,269,Assignment 9,2024-09-08,Classwork,17,20,B,85.64,See me for help
589914,4742,269,Assignment 13,2024-10-11,Homework,8,10,B,89.49,Needs review
589915,4742,269,Assignment 4,2024-09-07,Homework,17,20,B,88.5,Good work!
589916,4742,269,Assignment 15,2024-09-20,Homework,71,100,C,71.36,Excellent!
589917,4742,269,Assignment 14,2024-12-28,Test,39,50,C,78.42,Good work!
589918,4742,269,Assignment 18,2025-01-27,Project,9,10,A,90.37,See me for help
589919,4742,269,Assignment 4,2025-01-16,Test,67,100,D,67.53,See me for help
589920,4742,269,Assignment 12,2024-11-15,Homework,16,20,B,81.33,See me for help
589921,4742,269,Assignment 16,2024-10-11,Project,86,100,B,86.43,Good work!
589922,4742,269,Assignment 10,2025-01-26,Classwork,96,100,A,96.04,Needs review
589923,4742,269,Assignment 5,2024-09-08,Quiz,17,25,D,68.19,Needs review
589924,4742,261,Assignment 7,2025-03-20,Quiz,22,25,B,88.42,Good work!
