AttendanceID,StudentID,ClassID,AttendanceDate,AttendanceStatus,Reason
4458741,7377,394,2024-09-02,Absent,Unknown
4458742,7377,394,2024-09-03,Present,
4458743,7377,394,2024-09-04,Present,
4458744,7377,394,2024-09-05,Present,
4458745,7377,394,2024-09-06,Present,
4458746,7377,394,2024-09-09,Present,
4458747,7377,394,2024-09-10,Present,
4458748,7377,394,2024-09-11,Present,
4458749,7377,394,2024-09-12,Present,
4458750,7377,394,2024-09-13,Present,
4458751,7377,394,2024-09-16,Present,
4458752,7377,394,2024-09-17,Present,
4458753,7377,394,2024-09-18,Present,
4458754,7377,394,2024-09-19,Tardy,Late Bus
4458755,7377,394,2024-09-20,Present,
4458756,7377,394,2024-09-23,Present,
4458757,7377,394,2024-09-24,Present,
4458758,7377,394,2024-09-25,Present,
4458759,7377,394,2024-09-26,Present,
4458760,7377,394,2024-09-27,Present,
4458761,7377,394,2024-09-30,Present,
4458762,7377,394,2024-10-01,Present,
4458763,7377,394,2024-10-02,Present,
4458764,7377,394,2024-10-03,Present,
4458765,7377,394,2024-10-04,Present,
4458766,7377,394,2024-10-07,Present,
4458767,7377,394,2024-10-08,Present,
4458768,7377,394,2024-10-09,Present,
4458769,7377,394,2024-10-10,Tardy,Late Bus
4458770,7377,394,2024-10-11,Present,
4458771,7377,394,2024-10-14,Present,
4458772,7377,394,2024-10-15,Present,
4458773,7377,394,2024-10-16,Present,
4458774,7377,394,2024-10-17,Present,
4458775,7377,394,2024-10-18,Present,
4458776,7377,394,2024-10-21,Present,
4458777,7377,394,2024-10-22,Present,
4458778,7377,394,2024-10-23,Present,
4458779,7377,394,2024-10-24,Present,
4458780,7377,394,2024-10-25,Present,
4458781,7377,394,2024-10-28,Absent,Doctor Appointment
4458782,7377,394,2024-10-29,Present,
4458783,7377,394,2024-10-30,Present,
4458784,7377,394,2024-10-31,Present,
4458785,7377,394,2024-11-01,Tardy,Family Issue
4458786,7377,394,2024-11-04,Present,
4458787,7377,394,2024-11-05,Present,
4458788,7377,394,2024-11-06,Present,
4458789,7377,394,2024-11-07,Present,
4458790,7377,394,2024-11-08,Present,
4458791,7377,394,2024-11-11,Present,
4458792,7377,394,2024-11-12,Present,
4458793,7377,394,2024-11-13,Present,
4458794,7377,394,2024-11-14,Present,
4458795,7377,394,2024-11-15,Present,
4458796,7377,394,2024-11-18,Present,
4458797,7377,394,2024-11-19,Present,
4458798,7377,394,2024-11-20,Present,
4458799,7377,394,2024-11-21,Present,
4458800,7377,394,2024-11-22,Present,
4458801,7377,394,2024-11-25,Present,
4458802,7377,394,2024-11-26,Present,
4458803,7377,394,2024-11-27,Present,
4458804,7377,394,2024-11-28,Present,
4458805,7377,394,2024-11-29,Present,
4458806,7377,394,2024-12-02,Present,
4458807,7377,394,2024-12-03,Present,
4458808,7377,394,2024-12-04,Present,
4458809,7377,394,2024-12-05,Present,
4458810,7377,394,2024-12-06,Present,
4458811,7377,394,2024-12-09,Present,
4458812,7377,394,2024-12-10,Present,
4458813,7377,394,2024-12-11,Present,
4458814,7377,394,2024-12-12,Present,
4458815,7377,394,2024-12-13,Present,
4458816,7377,394,2024-12-16,Present,
4458817,7377,394,2024-12-17,Present,
4458818,7377,394,2024-12-18,Present,
4458819,7377,394,2024-12-19,Present,
4458820,7377,394,2024-12-20,Present,
4458821,7377,394,2024-12-23,Present,
4458822,7377,394,2024-12-24,Present,
4458823,7377,394,2024-12-25,Present,
4458824,7377,394,2024-12-26,Present,
4458825,7377,394,2024-12-27,Present,
4458826,7377,394,2024-12-30,Present,
4458827,7377,394,2024-12-31,Present,
4458828,7377,394,2025-01-01,Present,
4458829,7377,394,2025-01-02,Present,
4458830,7377,394,2025-01-03,Tardy,Family Issue
4458831,7377,394,2025-01-06,Present,
4458832,7377,394,2025-01-07,Tardy,Late Bus
4458833,7377,394,2025-01-08,Present,
4458834,7377,394,2025-01-09,Present,
4458835,7377,394,2025-01-10,Present,
4458836,7377,394,2025-01-13,Present,
4458837,7377,394,2025-01-14,Present,
4458838,7377,394,2025-01-15,Present,
4458839,7377,394,2025-01-16,Present,
4458840,7377,394,2025-01-17,Present,
4458841,7377,394,2025-01-20,Present,
4458842,7377,394,2025-01-21,Present,
4458843,7377,394,2025-01-22,Present,
4458844,7377,394,2025-01-23,Present,
4458845,7377,394,2025-01-24,Present,
4458846,7377,394,2025-01-27,Present,
4458847,7377,394,2025-01-28,Present,
4458848,7377,394,2025-01-29,Present,
4458849,7377,394,2025-01-30,Present,
4458850,7377,394,2025-01-31,Present,
4458851,7377,394,2025-02-03,Present,
4458852,7377,394,2025-02-04,Absent,Sick
4458853,7377,394,2025-02-05,Present,
4458854,7377,394,2025-02-06,Present,
4458855,7377,394,2025-02-07,Present,
4458856,7377,394,2025-02-10,Present,
4458857,7377,394,2025-02-11,Present,
4458858,7377,394,2025-02-12,Present,
4458859,7377,394,2025-02-13,Present,
4458860,7377,394,2025-02-14,Present,
4458861,7377,394,2025-02-17,Present,
4458862,7377,394,2025-02-18,Present,
4458863,7377,394,2025-02-19,Tardy,Late Bus
4458864,7377,394,2025-02-20,Present,
4458865,7377,394,2025-02-21,Present,
4458866,7377,394,2025-02-24,Present,
4458867,7377,394,2025-02-25,Present,
4458868,7377,394,2025-02-26,Present,
4458869,7377,394,2025-02-27,Present,
4458870,7377,394,2025-02-28,Present,
4458871,7377,396,2024-09-02,Present,
4458872,7377,396,2024-09-03,Present,
4458873,7377,396,2024-09-04,Present,
4458874,7377,396,2024-09-05,Present,
4458875,7377,396,2024-09-06,Present,
4458876,7377,396,2024-09-09,Present,
4458877,7377,396,2024-09-10,Present,
4458878,7377,396,2024-09-11,Present,
4458879,7377,396,2024-09-12,Present,
4458880,7377,396,2024-09-13,Tardy,Family Issue
4458881,7377,396,2024-09-16,Present,
4458882,7377,396,2024-09-17,Present,
4458883,7377,396,2024-09-18,Present,
4458884,7377,396,2024-09-19,Present,
4458885,7377,396,2024-09-20,Present,
4458886,7377,396,2024-09-23,Present,
4458887,7377,396,2024-09-24,Present,
4458888,7377,396,2024-09-25,Present,
4458889,7377,396,2024-09-26,Present,
4458890,7377,396,2024-09-27,Present,
4458891,7377,396,2024-09-30,Present,
4458892,7377,396,2024-10-01,Present,
4458893,7377,396,2024-10-02,Present,
4458894,7377,396,2024-10-03,Present,
4458895,7377,396,2024-10-04,Present,
4458896,7377,396,2024-10-07,Present,
4458897,7377,396,2024-10-08,Present,
4458898,7377,396,2024-10-09,Present,
4458899,7377,396,2024-10-10,Present,
4458900,7377,396,2024-10-11,Present,
4458901,7377,396,2024-10-14,Present,
4458902,7377,396,2024-10-15,Present,
4458903,7377,396,2024-10-16,Present,
4458904,7377,396,2024-10-17,Present,
4458905,7377,396,2024-10-18,Present,
4458906,7377,396,2024-10-21,Present,
4458907,7377,396,2024-10-22,Present,
4458908,7377,396,2024-10-23,Present,
4458909,7377,396,2024-10-24,Present,
4458910,7377,396,2024-10-25,Present,
4458911,7377,396,2024-10-28,Absent,Sick
4458912,7377,396,2024-10-29,Present,
4458913,7377,396,2024-10-30,Present,
4458914,7377,396,2024-10-31,Present,
4458915,7377,396,2024-11-01,Present,
4458916,7377,396,2024-11-04,Excused,Doctor Appointment
4458917,7377,396,2024-11-05,Present,
4458918,7377,396,2024-11-06,Present,
4458919,7377,396,2024-11-07,Present,
4458920,7377,396,2024-11-08,Present,
4458921,7377,396,2024-11-11,Present,
4458922,7377,396,2024-11-12,Present,
4458923,7377,396,2024-11-13,Present,
4458924,7377,396,2024-11-14,Present,
4458925,7377,396,2024-11-15,Present,
4458926,7377,396,2024-11-18,Present,
4458927,7377,396,2024-11-19,Present,
4458928,7377,396,2024-11-20,Present,
4458929,7377,396,2024-11-21,Present,
4458930,7377,396,2024-11-22,Present,
4458931,7377,396,2024-11-25,Present,
4458932,7377,396,2024-11-26,Present,
4458933,7377,396,2024-11-27,Present,
4458934,7377,396,2024-11-28,Present,
4458935,7377,396,2024-11-29,Present,
4458936,7377,396,2024-12-02,Present,
4458937,7377,396,2024-12-03,Present,
4458938,7377,396,2024-12-04,Present,
4458939,7377,396,2024-12-05,Present,
4458940,7377,396,2024-12-06,Tardy,Family Issue
4458941,7377,396,2024-12-09,Present,
4458942,7377,396,2024-12-10,Present,
4458943,7377,396,2024-12-11,Present,
4458944,7377,396,2024-12-12,Present,
4458945,7377,396,2024-12-13,Present,
4458946,7377,396,2024-12-16,Absent,Unknown
4458947,7377,396,2024-12-17,Present,
4458948,7377,396,2024-12-18,Present,
4458949,7377,396,2024-12-19,Present,
4458950,7377,396,2024-12-20,Present,
4458951,7377,396,2024-12-23,Present,
4458952,7377,396,2024-12-24,Present,
4458953,7377,396,2024-12-25,Present,
4458954,7377,396,2024-12-26,Present,
4458955,7377,396,2024-12-27,Present,
4458956,7377,396,2024-12-30,Present,
4458957,7377,396,2024-12-31,Present,
4458958,7377,396,2025-01-01,Present,
4458959,7377,396,2025-01-02,Present,
4458960,7377,396,2025-01-03,Present,
4458961,7377,396,2025-01-06,Present,
4458962,7377,396,2025-01-07,Present,
4458963,7377,396,2025-01-08,Present,
4458964,7377,396,2025-01-09,Present,
4458965,7377,396,2025-01-10,Present,
4458966,7377,396,2025-01-13,Present,
4458967,7377,396,2025-01-14,Present,
4458968,7377,396,2025-01-15,Present,
4458969,7377,396,2025-01-16,Present,
4458970,7377,396,2025-01-17,Present,
4458971,7377,396,2025-01-20,Present,
4458972,7377,396,2025-01-21,Present,
4458973,7377,396,2025-01-22,Present,
4458974,7377,396,2025-01-23,Present,
4458975,7377,396,2025-01-24,Absent,Family Leave
4458976,7377,396,2025-01-27,Present,
4458977,7377,396,2025-01-28,Present,
4458978,7377,396,2025-01-29,Present,
4458979,7377,396,2025-01-30,Present,
4458980,7377,396,2025-01-31,Present,
4458981,7377,396,2025-02-03,Present,
4458982,7377,396,2025-02-04,Present,
4458983,7377,396,2025-02-05,Present,
4458984,7377,396,2025-02-06,Present,
4458985,7377,396,2025-02-07,Present,
4458986,7377,396,2025-02-10,Present,
4458987,7377,396,2025-02-11,Present,
4458988,7377,396,2025-02-12,Present,
4458989,7377,396,2025-02-13,Present,
