AttendanceID,StudentID,ClassID,AttendanceDate,AttendanceStatus,Reason
1178841,1949,130,2024-09-02,Tardy,Late Bus
1178842,1949,130,2024-09-03,Present,
1178843,1949,130,2024-09-04,Present,
1178844,1949,130,2024-09-05,Present,
1178845,1949,130,2024-09-06,Present,
1178846,1949,130,2024-09-09,Present,
1178847,1949,130,2024-09-10,Present,
1178848,1949,130,2024-09-11,Present,
1178849,1949,130,2024-09-12,Present,
1178850,1949,130,2024-09-13,Present,
1178851,1949,130,2024-09-16,Present,
1178852,1949,130,2024-09-17,Present,
1178853,1949,130,2024-09-18,Present,
1178854,1949,130,2024-09-19,Tardy,Oversleep
1178855,1949,130,2024-09-20,Present,
1178856,1949,130,2024-09-23,Present,
1178857,1949,130,2024-09-24,Present,
1178858,1949,130,2024-09-25,Present,
1178859,1949,130,2024-09-26,Present,
1178860,1949,130,2024-09-27,Present,
1178861,1949,130,2024-09-30,Present,
1178862,1949,130,2024-10-01,Present,
1178863,1949,130,2024-10-02,Present,
1178864,1949,130,2024-10-03,Present,
1178865,1949,130,2024-10-04,Present,
1178866,1949,130,2024-10-07,Present,
1178867,1949,130,2024-10-08,Present,
1178868,1949,130,2024-10-09,Present,
1178869,1949,130,2024-10-10,Present,
1178870,1949,130,2024-10-11,Present,
1178871,1949,130,2024-10-14,Present,
1178872,1949,130,2024-10-15,Present,
1178873,1949,130,2024-10-16,Present,
1178874,1949,130,2024-10-17,Present,
1178875,1949,130,2024-10-18,Absent,Family Leave
1178876,1949,130,2024-10-21,Present,
1178877,1949,130,2024-10-22,Present,
1178878,1949,130,2024-10-23,Present,
1178879,1949,130,2024-10-24,Present,
1178880,1949,130,2024-10-25,Absent,Unknown
1178881,1949,130,2024-10-28,Present,
1178882,1949,130,2024-10-29,Present,
1178883,1949,130,2024-10-30,Present,
1178884,1949,130,2024-10-31,Tardy,Late Bus
1178885,1949,130,2024-11-01,Present,
1178886,1949,130,2024-11-04,Present,
1178887,1949,130,2024-11-05,Present,
1178888,1949,130,2024-11-06,Present,
1178889,1949,130,2024-11-07,Present,
1178890,1949,130,2024-11-08,Present,
1178891,1949,130,2024-11-11,Present,
1178892,1949,130,2024-11-12,Present,
1178893,1949,130,2024-11-13,Tardy,Family Issue
1178894,1949,130,2024-11-14,Present,
1178895,1949,130,2024-11-15,Present,
1178896,1949,130,2024-11-18,Present,
1178897,1949,130,2024-11-19,Present,
1178898,1949,130,2024-11-20,Present,
1178899,1949,130,2024-11-21,Present,
1178900,1949,130,2024-11-22,Present,
1178901,1949,130,2024-11-25,Present,
1178902,1949,130,2024-11-26,Present,
1178903,1949,130,2024-11-27,Present,
1178904,1949,130,2024-11-28,Present,
1178905,1949,130,2024-11-29,Present,
1178906,1949,130,2024-12-02,Tardy,Late Bus
1178907,1949,130,2024-12-03,Present,
1178908,1949,130,2024-12-04,Present,
1178909,1949,130,2024-12-05,Present,
1178910,1949,130,2024-12-06,Present,
