AssessmentID,StudentID,ClassID,AssignmentName,AssessmentDate,AssessmentType,PointsEarned,PointsPossible,GradeLetter,GradePercentage,Comments
511272,4111,228,Assignment 10,2024-12-22,Quiz,15,20,C,77.43,Good work!
511273,4111,228,Assignment 8,2025-01-23,Test,77,100,C,77.59,Excellent!
511274,4111,228,Assignment 15,2024-11-29,Homework,36,50,C,73.11,See me for help
511275,4111,228,Assignment 17,2024-11-19,Test,21,25,B,87.49,Excellent!
511276,4111,228,Assignment 16,2025-01-04,Test,12,20,D,61.87,Excellent!
511277,4111,228,Assignment 5,2024-09-23,Test,17,25,D,69.91,Needs review
511278,4111,228,Assignment 13,2025-01-01,Homework,16,25,D,67.95,Excellent!
511279,4111,228,Assignment 3,2024-12-21,Quiz,17,25,D,69.61,Good work!
511280,4111,228,Assignment 14,2024-11-17,Classwork,73,100,C,73.4,Good work!
511281,4111,228,Assignment 10,2024-09-12,Project,16,20,B,80.92,Needs review
511282,4111,228,Assignment 15,2024-10-15,Test,37,50,C,75.37,See me for help
511283,4111,228,Assignment 6,2024-09-12,Test,6,10,D,62.9,See me for help
511284,4111,228,Assignment 1,2025-02-06,Homework,43,50,B,87.15,See me for help
511285,4111,228,Assignment 12,2025-02-12,Classwork,22,25,B,88.62,Needs review
511286,4111,228,Assignment 5,2024-10-07,Project,40,50,B,81.58,Needs review
511287,4111,228,Assignment 11,2024-12-17,Project,65,100,D,65.55,Good work!
511288,4111,228,Assignment 17,2025-01-26,Test,32,50,D,64.24,Needs review
511289,4111,228,Assignment 7,2024-10-09,Test,14,20,C,74.64,See me for help
511290,4111,228,Assignment 20,2024-12-19,Test,79,100,C,79.21,Needs review
511291,4111,226,Assignment 20,2024-10-02,Test,66,100,D,66.66,Excellent!
511292,4111,226,Assignment 5,2024-12-03,Project,69,100,D,69.32,Good work!
511293,4111,226,Assignment 3,2024-12-22,Classwork,87,100,B,87.51,Excellent!
511294,4111,226,Assignment 18,2024-10-23,Project,17,25,C,70.34,Excellent!
511295,4111,226,Assignment 20,2024-10-09,Homework,7,10,C,79.48,Needs review
511296,4111,226,Assignment 16,2025-01-08,Quiz,17,20,B,87.62,See me for help
511297,4111,226,Assignment 16,2025-01-18,Homework,6,10,D,60.74,See me for help
511298,4111,226,Assignment 10,2024-10-27,Quiz,14,20,C,74.87,See me for help
511299,4111,226,Assignment 18,2025-01-20,Test,7,10,C,74.62,See me for help
511300,4111,226,Assignment 11,2024-11-26,Test,17,25,D,69.47,Needs review
511301,4111,226,Assignment 20,2025-02-23,Quiz,12,20,D,62.26,Needs review
511302,4111,226,Assignment 4,2025-02-26,Homework,30,50,D,61.47,Excellent!
511303,4111,226,Assignment 10,2024-10-15,Quiz,20,25,B,82.57,See me for help
511304,4111,226,Assignment 8,2025-02-04,Classwork,61,100,D,61.79,Excellent!
511305,4111,226,Assignment 12,2024-12-26,Classwork,13,20,D,67.55,Excellent!
511306,4111,226,Assignment 4,2024-10-07,Classwork,19,25,C,78.44,Needs review
511307,4111,226,Assignment 14,2025-01-16,Classwork,80,100,B,80.61,Excellent!
511308,4111,226,Assignment 17,2024-10-22,Classwork,14,20,C,71.0,Needs review
511309,4111,227,Assignment 8,2024-10-27,Classwork,76,100,C,76.77,Needs review
511310,4111,227,Assignment 17,2024-09-24,Classwork,39,50,C,78.19,Good work!
511311,4111,227,Assignment 20,2024-10-25,Project,12,20,D,60.7,Excellent!
511312,4111,227,Assignment 4,2024-12-28,Project,61,100,D,61.75,Good work!
511313,4111,227,Assignment 9,2025-02-13,Homework,39,50,C,78.81,See me for help
511314,4111,227,Assignment 15,2024-09-18,Classwork,21,25,B,86.13,Excellent!
511315,4111,227,Assignment 16,2025-01-15,Test,7,10,C,70.57,Good work!
511316,4111,227,Assignment 19,2024-12-20,Project,87,100,B,87.02,Good work!
511317,4111,227,Assignment 5,2025-03-19,Project,30,50,D,61.74,Needs review
511318,4111,227,Assignment 9,2024-09-19,Test,17,20,B,89.13,Needs review
511319,4111,227,Assignment 12,2025-01-17,Homework,61,100,D,61.18,Needs review
511320,4111,227,Assignment 11,2024-10-03,Quiz,13,20,D,69.34,Needs review
511321,4111,227,Assignment 1,2025-02-28,Project,17,20,B,85.35,See me for help
511322,4111,227,Assignment 16,2024-10-10,Project,81,100,B,81.13,See me for help
511323,4111,227,Assignment 16,2025-02-01,Test,73,100,C,73.92,Excellent!
511324,4111,227,Assignment 5,2025-01-15,Homework,7,10,C,70.61,See me for help
511325,4111,227,Assignment 10,2024-11-28,Project,61,100,D,61.55,Good work!
511326,4111,227,Assignment 15,2024-09-04,Homework,31,50,D,63.56,Excellent!
511327,4111,227,Assignment 13,2024-10-22,Project,8,10,B,84.43,Needs review
511328,4111,227,Assignment 2,2025-03-04,Homework,30,50,D,61.82,See me for help
511329,4111,227,Assignment 17,2024-11-20,Test,8,10,B,82.91,Excellent!
511330,4111,227,Assignment 7,2024-12-23,Classwork,18,25,C,74.96,See me for help
511331,4111,227,Assignment 10,2024-09-07,Quiz,62,100,D,62.04,Excellent!
511332,4111,227,Assignment 1,2025-01-16,Homework,17,20,B,87.36,Needs review
511333,4111,227,Assignment 14,2025-02-14,Homework,37,50,C,74.03,Needs review
511334,4111,217,Assignment 16,2025-01-21,Quiz,8,10,B,81.36,Good work!
511335,4111,217,Assignment 17,2024-10-09,Classwork,16,20,B,82.78,See me for help
511336,4111,217,Assignment 2,2024-09-20,Project,31,50,D,62.42,See me for help
511337,4111,217,Assignment 20,2024-10-19,Test,17,20,B,88.7,Needs review
511338,4111,217,Assignment 2,2024-09-29,Homework,37,50,C,75.01,See me for help
511339,4111,217,Assignment 10,2024-09-17,Classwork,42,50,B,85.97,See me for help
511340,4111,217,Assignment 10,2024-10-27,Project,17,25,D,68.07,Needs review
511341,4111,217,Assignment 4,2024-12-08,Test,31,50,D,62.19,Needs review
511342,4111,217,Assignment 7,2024-12-07,Test,64,100,D,64.48,Needs review
511343,4111,217,Assignment 8,2024-09-07,Classwork,21,25,B,85.09,See me for help
511344,4111,217,Assignment 15,2024-11-27,Homework,32,50,D,65.42,Needs review
511345,4111,217,Assignment 18,2024-12-30,Quiz,8,10,B,88.18,See me for help
511346,4111,217,Assignment 15,2025-02-03,Classwork,31,50,D,63.63,Good work!
511347,4111,217,Assignment 2,2024-11-07,Test,20,25,B,81.72,Excellent!
511348,4111,217,Assignment 10,2024-09-28,Project,14,20,C,70.85,Excellent!
511349,4111,217,Assignment 15,2024-09-08,Homework,21,25,B,85.58,Needs review
511350,4111,217,Assignment 7,2024-09-07,Test,6,10,D,63.8,Good work!
511351,4111,217,Assignment 7,2024-09-20,Homework,16,20,B,83.5,Good work!
511352,4111,217,Assignment 12,2024-11-24,Homework,17,25,D,69.45,See me for help
511353,4111,217,Assignment 12,2024-12-12,Homework,13,20,D,68.67,Good work!
511354,4111,217,Assignment 8,2024-10-18,Homework,7,10,C,74.45,Needs review
511355,4111,217,Assignment 16,2025-03-10,Homework,17,25,C,71.53,Needs review
511356,4111,223,Assignment 15,2025-02-24,Classwork,6,10,D,61.69,Good work!
511357,4111,223,Assignment 7,2025-03-07,Homework,33,50,D,66.71,Good work!
511358,4111,223,Assignment 11,2025-02-16,Test,6,10,D,62.32,Excellent!
511359,4111,223,Assignment 20,2025-02-28,Quiz,65,100,D,65.67,Excellent!
511360,4111,223,Assignment 16,2024-12-24,Test,17,25,C,71.01,Excellent!
511361,4111,223,Assignment 14,2025-02-12,Homework,12,20,D,61.1,See me for help
511362,4111,223,Assignment 3,2024-10-08,Classwork,8,10,B,87.62,Good work!
511363,4111,223,Assignment 13,2024-11-19,Test,16,25,D,64.58,Excellent!
511364,4111,223,Assignment 15,2025-01-25,Test,33,50,D,66.74,Excellent!
511365,4111,223,Assignment 7,2024-11-20,Test,14,20,C,72.0,See me for help
511366,4111,223,Assignment 2,2024-11-18,Homework,18,25,C,74.13,Excellent!
511367,4111,223,Assignment 8,2024-10-12,Homework,80,100,B,80.07,Needs review
511368,4111,223,Assignment 7,2024-09-19,Classwork,17,25,D,69.54,Excellent!
511369,4111,223,Assignment 8,2025-01-24,Quiz,21,25,B,85.59,Excellent!
511370,4111,223,Assignment 6,2025-01-21,Homework,7,10,C,74.39,Good work!
511371,4111,223,Assignment 13,2025-03-02,Quiz,33,50,D,67.65,Needs review
511372,4112,224,Assignment 15,2024-10-26,Project,52,100,F,52.52,Good work!
511373,4112,224,Assignment 17,2024-09-14,Quiz,40,100,F,40.11,Excellent!
511374,4112,224,Assignment 9,2024-09-29,Homework,3,10,F,38.25,Good work!
511375,4112,224,Assignment 16,2025-01-24,Classwork,16,50,F,32.18,Excellent!
511376,4112,224,Assignment 17,2025-03-14,Homework,47,100,F,47.76,Good work!
511377,4112,224,Assignment 17,2025-01-11,Project,3,10,F,31.15,See me for help
511378,4112,224,Assignment 1,2024-10-02,Quiz,4,10,F,41.02,Excellent!
511379,4112,224,Assignment 19,2024-10-12,Test,8,25,F,34.82,Good work!
