AssessmentID,StudentID,ClassID,AssignmentName,AssessmentDate,AssessmentType,PointsEarned,PointsPossible,GradeLetter,GradePercentage,Comments
844291,6790,370,Assignment 8,2025-01-20,Project,24,50,F,48.79,Needs review
844292,6790,370,Assignment 4,2024-12-04,Classwork,5,10,F,51.71,Good work!
844293,6790,370,Assignment 8,2025-02-02,Quiz,5,10,F,59.78,Excellent!
844294,6790,370,Assignment 13,2025-01-17,Project,61,100,D,61.6,See me for help
844295,6790,370,Assignment 13,2024-11-23,Classwork,33,50,D,66.88,Good work!
844296,6790,370,Assignment 4,2025-02-09,Quiz,5,10,F,54.41,See me for help
844297,6790,370,Assignment 10,2024-11-27,Quiz,6,10,D,69.66,Good work!
844298,6790,370,Assignment 20,2024-12-29,Quiz,11,20,F,56.27,Good work!
844299,6790,370,Assignment 8,2025-01-17,Classwork,54,100,F,54.23,See me for help
844300,6790,370,Assignment 15,2024-10-22,Test,17,25,C,70.24,Good work!
844301,6790,370,Assignment 4,2025-02-15,Homework,35,50,C,71.44,Good work!
844302,6790,370,Assignment 2,2024-10-10,Classwork,60,100,D,60.29,See me for help
844303,6790,370,Assignment 5,2024-12-11,Project,27,50,F,55.88,Excellent!
844304,6790,370,Assignment 7,2024-12-21,Quiz,4,10,F,48.19,Good work!
844305,6790,370,Assignment 17,2024-12-01,Classwork,15,25,D,61.29,Needs review
844306,6790,370,Assignment 8,2024-12-31,Homework,12,25,F,48.03,Needs review
844307,6790,370,Assignment 6,2025-01-13,Homework,16,25,D,65.42,Needs review
844308,6790,370,Assignment 20,2024-09-22,Homework,5,10,F,51.17,Excellent!
844309,6790,370,Assignment 1,2024-09-26,Test,11,25,F,46.04,Excellent!
844310,6790,370,Assignment 13,2025-01-28,Test,26,50,F,53.96,Needs review
844311,6790,370,Assignment 14,2024-09-21,Homework,14,25,F,59.03,See me for help
844312,6790,363,Assignment 2,2024-11-11,Quiz,7,10,C,72.4,See me for help
844313,6790,363,Assignment 19,2024-12-21,Homework,12,25,F,51.09,See me for help
844314,6790,363,Assignment 20,2024-11-07,Classwork,13,25,F,54.11,Excellent!
844315,6790,363,Assignment 13,2024-09-17,Classwork,14,25,F,56.22,Needs review
844316,6790,363,Assignment 3,2025-02-18,Quiz,5,10,F,58.78,Good work!
844317,6790,363,Assignment 14,2024-09-01,Project,65,100,D,65.35,Good work!
844318,6790,363,Assignment 7,2025-01-29,Test,13,20,D,67.66,Good work!
844319,6790,363,Assignment 4,2024-10-26,Test,70,100,C,70.12,Needs review
844320,6790,363,Assignment 6,2024-10-20,Classwork,28,50,F,56.92,Excellent!
844321,6790,363,Assignment 2,2025-02-01,Classwork,14,20,C,74.38,Excellent!
844322,6790,363,Assignment 6,2025-01-21,Homework,24,50,F,49.43,Excellent!
