AttendanceID,StudentID,ClassID,AttendanceDate,AttendanceStatus,Reason
3918721,6477,343,2024-09-02,Tardy,Late Bus
3918722,6477,343,2024-09-04,Tardy,Oversleep
3918723,6477,343,2024-09-06,Present,
3918724,6477,343,2024-09-10,Excused,Unknown
3918725,6477,343,2024-09-12,Present,
3918726,6477,343,2024-09-16,Present,
3918727,6477,343,2024-09-18,Tardy,Oversleep
3918728,6477,343,2024-09-20,Present,
3918729,6477,343,2024-09-24,Present,
3918730,6477,343,2024-09-26,Present,
3918731,6477,343,2024-09-30,Present,
3918732,6477,343,2024-10-02,Present,
3918733,6477,343,2024-10-04,Present,
3918734,6477,343,2024-10-08,Present,
3918735,6477,343,2024-10-10,Present,
3918736,6477,343,2024-10-14,Present,
3918737,6477,343,2024-10-16,Present,
3918738,6477,343,2024-10-18,Present,
3918739,6477,343,2024-10-22,Absent,Unknown
3918740,6477,343,2024-10-24,Present,
3918741,6477,343,2024-10-28,Present,
3918742,6477,343,2024-10-30,Present,
3918743,6477,343,2024-11-01,Present,
3918744,6477,343,2024-11-05,Absent,Sick
3918745,6477,343,2024-11-07,Present,
3918746,6477,343,2024-11-11,Present,
3918747,6477,343,2024-11-13,Present,
3918748,6477,343,2024-11-15,Present,
3918749,6477,343,2024-11-19,Present,
3918750,6477,343,2024-11-21,Tardy,Oversleep
3918751,6477,343,2024-11-25,Tardy,Family Issue
3918752,6477,343,2024-11-27,Present,
3918753,6477,343,2024-11-29,Tardy,Family Issue
3918754,6477,343,2024-12-03,Present,
3918755,6477,343,2024-12-05,Present,
3918756,6477,343,2024-12-09,Absent,Family Leave
3918757,6477,343,2024-12-11,Present,
3918758,6477,343,2024-12-13,Present,
3918759,6477,343,2024-12-17,Present,
3918760,6477,343,2024-12-19,Present,
3918761,6477,343,2024-12-23,Present,
3918762,6477,343,2024-12-25,Present,
3918763,6477,343,2024-12-27,Present,
3918764,6477,343,2024-12-31,Present,
3918765,6477,343,2025-01-02,Present,
3918766,6477,343,2025-01-06,Present,
3918767,6477,343,2025-01-08,Present,
3918768,6477,343,2025-01-10,Present,
3918769,6477,343,2025-01-14,Present,
3918770,6477,343,2025-01-16,Present,
3918771,6477,343,2025-01-20,Present,
3918772,6477,343,2025-01-22,Absent,Family Leave
3918773,6477,343,2025-01-24,Present,
3918774,6477,343,2025-01-28,Present,
3918775,6477,343,2025-01-30,Present,
3918776,6477,343,2025-02-03,Tardy,Oversleep
3918777,6477,343,2025-02-05,Present,
3918778,6477,343,2025-02-07,Tardy,Family Issue
3918779,6477,343,2025-02-11,Present,
3918780,6477,343,2025-02-13,Present,
3918781,6477,343,2025-02-17,Absent,Doctor Appointment
3918782,6477,343,2025-02-19,Present,
3918783,6477,343,2025-02-21,Present,
3918784,6477,343,2025-02-25,Present,
3918785,6477,343,2025-02-27,Present,
3918786,6477,347,2024-09-02,Present,
3918787,6477,347,2024-09-04,Present,
3918788,6477,347,2024-09-06,Present,
3918789,6477,347,2024-09-10,Tardy,Oversleep
3918790,6477,347,2024-09-12,Present,
3918791,6477,347,2024-09-16,Present,
3918792,6477,347,2024-09-18,Present,
3918793,6477,347,2024-09-20,Present,
3918794,6477,347,2024-09-24,Present,
3918795,6477,347,2024-09-26,Present,
3918796,6477,347,2024-09-30,Absent,Family Leave
3918797,6477,347,2024-10-02,Present,
3918798,6477,347,2024-10-04,Present,
3918799,6477,347,2024-10-08,Present,
3918800,6477,347,2024-10-10,Present,
3918801,6477,347,2024-10-14,Tardy,Late Bus
3918802,6477,347,2024-10-16,Absent,Sick
3918803,6477,347,2024-10-18,Present,
3918804,6477,347,2024-10-22,Present,
3918805,6477,347,2024-10-24,Present,
3918806,6477,347,2024-10-28,Present,
3918807,6477,347,2024-10-30,Absent,Family Leave
3918808,6477,347,2024-11-01,Present,
3918809,6477,347,2024-11-05,Present,
